legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
pomme,1 moyenne,1,1688,1.133,"Pomme cannelle, crue","Sugar-apple, raw",94,2.06,23.64,0.29
pomme,1 moyenne,2,1490,1.05,"Pomme, séchée, sulfurée, non cuite","Apple, dried, sulphured, uncooked",243,0.93,65.89,0.32
pomme,1 moyenne,3,1696,1.05,"Pomme, crue, avec pelure","Apple, raw, with skin",52,0.26,13.81,0.17
pomme,1 moyenne,4,1697,1.05,"Pomme, crue, sans pelure","Apple, raw, without skin",48,0.27,12.76,0.13
pomme,1 moyenne,5,2440,1.05,"Pomme de terre, farine",Potato flour,357,6.9,83.1,0.34
banane,1 moyenne,1,1704,1.3,"Banane, crue","Banana, raw",89,1.09,22.84,0.33
banane,1 moyenne,2,1514,1.05,"Banane, déshydratée ou en poudre","Banana, dehydrated or banana powder",346,3.89,88.28,1.81
banane,1 moyenne,3,4351,0.733,"Grignotises, croustilles de bananes séchées","Snacks, banana chips",519,2.3,58.4,33.6
banane,1 moyenne,4,4857,0.733,"Piment, banane, cru","Pepper, banana, raw",27,1.66,5.35,0.45
banane,1 moyenne,5,3944,0.65,"Tarte, crème aux bananes, faite maison","Pie, banana cream, homemade",269,4.4,32.9,13.6
orange,1 moyenne,1,1617,1.133,"Orange, floride, crue","Orange, florida, raw",46,0.7,11.54,0.21
orange,1 moyenne,2,1619,1.133,"Orange, jus, frais","Orange juice, raw",45,0.7,10.4,0.2
orange,1 moyenne,3,1621,1.133,"Orange, zeste, cru","Orange peel, raw",97,1.5,25,0.2
orange,1 moyenne,4,1723,1.133,"Orange, jus, conserve","Orange juice, canned",47,0.68,11.01,0.15
orange,1 moyenne,5,7051,1.133,"Jus, orange ananas",Orange pineapple juice,51,0.41,12.2,0.08
clémentine,1 fruit,1,5956,1.3,"Clémentine, crue","Clementine, raw",47,0.85,12.02,0.15
clémentine,1 fruit,2,1623,0.733,"Tangerine (mandarine), crue","Tangerine (mandarin), raw",53,0.81,13.34,0.31
clémentine,1 fruit,3,1624,0.65,"Tangerine (mandarine), jus, frais","Tangerine (mandarin) juice, raw",43,0.5,10.1,0.2
clémentine,1 fruit,4,1625,0.567,"Tangerine (mandarine), jus, conserve, sucre ajouté","Tangerine (mandarin) juice, canned, sugar added",50,0.5,12,0.2
clémentine,1 fruit,5,1726,0.511,"Tangerine (mandarine), conserve, dans du jus, solides et liquides","Tangerine (mandarin), canned, juice pack, solids and liquid",37,0.62,9.57,0.03
pêche,1 moyenne,1,1728,1.3,"Pêche, crue","Peach, raw",39,0.91,9.54,0.25
pêche,1 moyenne,2,1644,1.133,"Pêche, nectar, conserve","Peach nectar, canned",54,0.27,13.92,0.02
pêche,1 moyenne,3,1643,1.05,"Pêche, congelée, tranchée, sucrée","Peach, frozen sliced, sweetened",94,0.63,23.98,0.13
pêche,1 moyenne,4,1640,1,"Pêche, moitié, séchée, sulfurée, non cuite","Peach, dried halves, sulphured, uncooked",239,3.61,61.33,0.76
pêche,1 moyenne,5,5397,1,"Pêche, conserve, dans du sirop épais, égouttée","Peach, canned, heavy syrup, drained",72,0.52,18.43,0.18
nectarine,1 moyenne,1,1611,1.3,"Nectarine, crue","Nectarine, raw",44,1.06,10.55,0.32
poire,1 moyenne,1,1652,1.133,"Poire, nectar, conserve","Pear nectar, canned",60,0.11,15.76,0.01
