energie_alias,current_portion,rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g
laitue,2 tasses,1,2073,1.5,"Mâche commune, crue","Cornsalad (lamb's lettuce), raw",21
laitue,2 tasses,2,2051,1,"Laitue-tige, crue","Celtuce, raw",18
laitue,2 tasses,3,2398,0.667,"Laitue, iceberg (pommée)","Lettuce, iceberg",14
laitue,2 tasses,4,88,0.5,"Oeuf, canard, entier, frais, cru","Egg, duck, whole, fresh, raw",186
laitue,2 tasses,5,89,0.5,"Oeuf, oie, entier, frais, cru","Egg, goose, whole, fresh, raw",185
laitue,2 tasses,6,90,0.5,"Oeuf, caille, entier, frais, cru","Egg, quail, whole, fresh, raw",159
laitue,2 tasses,7,91,0.5,"Oeuf, dinde, entier, frais, cru","Egg, turkey, whole, fresh, raw",171
laitue,2 tasses,8,125,0.5,"Oeuf, poule, entier, frais ou congelé, cru","Egg, chicken, whole, fresh or frozen, raw",152
laitue,2 tasses,9,126,0.5,"Oeuf, poule, blanc, frais ou congelé, cru","Egg, chicken, white, fresh or frozen, raw",46
laitue,2 tasses,10,127,0.5,"Oeuf, poule, jaune, frais ou congelé, cru","Egg, chicken, yolk, fresh or frozen, raw",351
laitue,2 tasses,11,555,0.5,"Poulet à griller, viande, peau, abats et cou, cru","Chicken, broiler, meat, skin, giblets and neck, raw",213
laitue,2 tasses,12,560,0.5,"Poulet à griller, viande et peau, crues","Chicken, broiler, meat and skin, raw",215
betterave,1 tasse,1,2500,2.3,"Betteraves, crues","Beets, raw",43
betterave,1 tasse,2,2501,2.3,"Betteraves, bouillies, égouttées","Beets, boiled, drained",44
betterave,1 tasse,3,6377,2.3,"Betteraves, bouillies, égouttées, sel ajouté","Beets, boiled, drained, with salt",44
betterave,1 tasse,4,2021,1,"Betterave, feuilles, crues","Beet greens, raw",22
betterave,1 tasse,5,2022,1,"Betterave, feuilles, bouillies, égouttées","Beet greens, boiled, drained",27
betterave,1 tasse,6,6376,1,"Betterave, feuilles, bouillies, égouttées, sel ajouté","Beet greens, boiled, drained, with salt",27
betterave,1 tasse,7,88,0.5,"Oeuf, canard, entier, frais, cru","Egg, duck, whole, fresh, raw",186
betterave,1 tasse,8,89,0.5,"Oeuf, oie, entier, frais, cru","Egg, goose, whole, fresh, raw",185
betterave,1 tasse,9,90,0.5,"Oeuf, caille, entier, frais, cru","Egg, quail, whole, fresh, raw",159
betterave,1 tasse,10,91,0.5,"Oeuf, dinde, entier, frais, cru","Egg, turkey, whole, fresh, raw",171
betterave,1 tasse,11,125,0.5,"Oeuf, poule, entier, frais ou congelé, cru","Egg, chicken, whole, fresh or frozen, raw",152
betterave,1 tasse,12,126,0.5,"Oeuf, poule, blanc, frais ou congelé, cru","Egg, chicken, white, fresh or frozen, raw",46
céréales,1 tasse,1,6356,2.3,"Céréales, prêtes à manger, flocons d'amarante","Cereal, ready-to-eat, amaranth flakes",353
céréales,1 tasse,2,1222,1,"Céreale, prête-à-manger, granola, fait maison","Cereal, ready to eat, granola, homemade",490
céréales,1 tasse,3,1230,1,"Céréale, prête-à-manger, alpen (muesli), Weetabix","Cereal, ready to eat, Alpen (muesli), Weetabix",386
céréales,1 tasse,4,1231,1,"Céréale, prête-a-manger, Alpha-bits, Post","Cereal, ready to eat, Alpha-bits, Post",394
céréales,1 tasse,5,1232,1,"Céréale, prête-à-manger, 'All Bran' bran flakes, Kellogg's","Cereal, ready to eat, 'All Bran' Bran Flakes, Kellogg's",331
céréales,1 tasse,6,1235,1,"Céréale, prête-à-manger, Count Chocula, General Mills","Cereal, ready to eat, Count Chocula, General Mills",395
